company_name,member_type,address,registration,member_id,profile_url,source,scraped_date
ACEPAC CONSTRUCTION PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,6378,https://www.scal.com.sg/memberlisting-details/6378-acepac-construction-pte-ltd,SCAL Member Directory,2026-01-14
ACEPLP.COM PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,52,https://www.scal.com.sg/memberlisting-details/52-aceplpcom-pte-ltd,SCAL Member Directory,2026-01-14
ACJ PAINTING PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,7781,https://www.scal.com.sg/memberlisting-details/7781-acj-painting-pte-ltd,SCAL Member Directory,2026-01-14
ACL CONSTRUCTION (S) PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,53,https://www.scal.com.sg/memberlisting-details/53-acl-construction-s-pte-ltd,SCAL Member Directory,2026-01-14
ACQUAL ENGINEERING LLP,SLOTS,"10 Tannery Lane, Singapore 347773",,5920,https://www.scal.com.sg/memberlisting-details/5920-acqual-engineering-llp,SCAL Member Directory,2026-01-14
ACRE WORKS SDN BHD (SINGAPORE BRANCH),SLOTS,"10 Tannery Lane, Singapore 347773",,5559,https://www.scal.com.sg/memberlisting-details/5559-acre-works-sdn-bhd-singapore-branch,SCAL Member Directory,2026-01-14
ACRES WORKS AND ENGINEERING PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,6054,https://www.scal.com.sg/memberlisting-details/6054-acres-works-and-engineering-pte-ltd,SCAL Member Directory,2026-01-14
ACTION ELECTRICAL WORKS,SLOTS,"10 Tannery Lane, Singapore 347773",,4822,https://www.scal.com.sg/memberlisting-details/4822-action-electrical-works,SCAL Member Directory,2026-01-14
ACTION PRO PLUMBING CONTRACTOR PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,4310,https://www.scal.com.sg/memberlisting-details/4310-action-pro-plumbing-contractor-pte-ltd,SCAL Member Directory,2026-01-14
ACTUS BUILDERS PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,55,https://www.scal.com.sg/memberlisting-details/55-actus-builders-pte-ltd,SCAL Member Directory,2026-01-14
AD FURNISHING PTE. LTD.,SLOTS,"10 Tannery Lane, Singapore 347773",,4312,https://www.scal.com.sg/memberlisting-details/4312-ad-furnishing-pte-ltd,SCAL Member Directory,2026-01-14
ADA PLUMBING & TRADING PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,4313,https://www.scal.com.sg/memberlisting-details/4313-ada-plumbing-trading-pte-ltd,SCAL Member Directory,2026-01-14
ADENN AIR-CON SERVICES & CONTROL PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,4270,https://www.scal.com.sg/memberlisting-details/4270-adenn-air-con-services-control-pte-ltd,SCAL Member Directory,2026-01-14
ADEPT SCAFFOLDS ENGINEERING PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,4314,https://www.scal.com.sg/memberlisting-details/4314-adept-scaffolds-engineering-pte-ltd,SCAL Member Directory,2026-01-14
ADF CONSTRUCTION PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,56,https://www.scal.com.sg/memberlisting-details/56-adf-construction-pte-ltd,SCAL Member Directory,2026-01-14
ADMAN DECO,SLOTS,"10 Tannery Lane, Singapore 347773",,4665,https://www.scal.com.sg/memberlisting-details/4665-adman-deco,SCAL Member Directory,2026-01-14
ADVANCE SURFACE INDUSTRIES PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,4315,https://www.scal.com.sg/memberlisting-details/4315-advance-surface-industries-pte-ltd,SCAL Member Directory,2026-01-14
ADVANCE TRADERS PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,5549,https://www.scal.com.sg/memberlisting-details/5549-advance-traders-pte-ltd,SCAL Member Directory,2026-01-14
AEGIS BUILDING & ENGINEERING PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,57,https://www.scal.com.sg/memberlisting-details/57-aegis-building-engineering-pte-ltd,SCAL Member Directory,2026-01-14
AEH GLASS CONSTRUCTION PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,4317,https://www.scal.com.sg/memberlisting-details/4317-aeh-glass-construction-pte-ltd,SCAL Member Directory,2026-01-14
