company_name,member_id,profile_url,source,scraped_date
Falcon Automation and Integrations Pte Ltd,1697765,https://speta.org/membership-directory/corporate/1697765#page-member-ajax,SPETA Corporate Directory,2026-01-14
Fanuc Singapore Pte Ltd,1395163,https://speta.org/membership-directory/corporate/1395163#page-member-ajax,SPETA Corporate Directory,2026-01-14
FI GROUP,1401286,https://speta.org/membership-directory/corporate/1401286#page-member-ajax,SPETA Corporate Directory,2026-01-14
Finest Technologies Pte Ltd,1395166,https://speta.org/membership-directory/corporate/1395166#page-member-ajax,SPETA Corporate Directory,2026-01-14
Finmark Laser Pte Ltd,1395167,https://speta.org/membership-directory/corporate/1395167#page-member-ajax,SPETA Corporate Directory,2026-01-14
FIRE ARMOUR PTE LTD,1395168,https://speta.org/membership-directory/corporate/1395168#page-member-ajax,SPETA Corporate Directory,2026-01-14
Firetronics Pte Ltd,1395169,https://speta.org/membership-directory/corporate/1395169#page-member-ajax,SPETA Corporate Directory,2026-01-14
Fitson Singapore Pte Ltd,1395170,https://speta.org/membership-directory/corporate/1395170#page-member-ajax,SPETA Corporate Directory,2026-01-14
Flexspeed Technology Pte Ltd,1395171,https://speta.org/membership-directory/corporate/1395171#page-member-ajax,SPETA Corporate Directory,2026-01-14
Foamtec (Singapore) Pte Ltd,1395172,https://speta.org/membership-directory/corporate/1395172#page-member-ajax,SPETA Corporate Directory,2026-01-14
Fong Lee Metal Industries Pte Ltd,1395173,https://speta.org/membership-directory/corporate/1395173#page-member-ajax,SPETA Corporate Directory,2026-01-14
Fong's Engineering and Manufacturing Pte Ltd,1395174,https://speta.org/membership-directory/corporate/1395174#page-member-ajax,SPETA Corporate Directory,2026-01-14
Forefront Additive Manufacturing Pte Ltd,1395175,https://speta.org/membership-directory/corporate/1395175#page-member-ajax,SPETA Corporate Directory,2026-01-14
Forefront Medical Investment Pte Ltd,1395176,https://speta.org/membership-directory/corporate/1395176#page-member-ajax,SPETA Corporate Directory,2026-01-14
Formative Tech Pte Ltd,1395177,https://speta.org/membership-directory/corporate/1395177#page-member-ajax,SPETA Corporate Directory,2026-01-14
FSM Technology Pte Ltd,1395178,https://speta.org/membership-directory/corporate/1395178#page-member-ajax,SPETA Corporate Directory,2026-01-14
Fu Yu Corporation Ltd,1395179,https://speta.org/membership-directory/corporate/1395179#page-member-ajax,SPETA Corporate Directory,2026-01-14
GD Precision Pte Ltd,1395181,https://speta.org/membership-directory/corporate/1395181#page-member-ajax,SPETA Corporate Directory,2026-01-14
Giken Sakata (S) Limited,1395182,https://speta.org/membership-directory/corporate/1395182#page-member-ajax,SPETA Corporate Directory,2026-01-14
Global Advanced-Tech (S) Pte Ltd,1676748,https://speta.org/membership-directory/corporate/1676748#page-member-ajax,SPETA Corporate Directory,2026-01-14
Global Business Chambers,2502806,https://speta.org/membership-directory/corporate/2502806#page-member-ajax,SPETA Corporate Directory,2026-01-14
Globaltronic Bio-Tech Precision (PTE Ltd),1395183,https://speta.org/membership-directory/corporate/1395183#page-member-ajax,SPETA Corporate Directory,2026-01-14
GMET International Pte Ltd,1395184,https://speta.org/membership-directory/corporate/1395184#page-member-ajax,SPETA Corporate Directory,2026-01-14
GP Manufacturing (S) Pte Ltd,1395185,https://speta.org/membership-directory/corporate/1395185#page-member-ajax,SPETA Corporate Directory,2026-01-14
Grand Advance Technologies Pte Ltd,1395186,https://speta.org/membership-directory/corporate/1395186#page-member-ajax,SPETA Corporate Directory,2026-01-14
Grand Venture Technology Limited,1395187,https://speta.org/membership-directory/corporate/1395187#page-member-ajax,SPETA Corporate Directory,2026-01-14
GROUND & SHARP PRECISION ENGRG PTE LTD,1395188,https://speta.org/membership-directory/corporate/1395188#page-member-ajax,SPETA Corporate Directory,2026-01-14
GS Precision Pte Ltd,1395190,https://speta.org/membership-directory/corporate/1395190#page-member-ajax,SPETA Corporate Directory,2026-01-14
Guan Lee Hardware Pte Ltd,1395191,https://speta.org/membership-directory/corporate/1395191#page-member-ajax,SPETA Corporate Directory,2026-01-14
Guan Tat Precision Tooling Pte Ltd,2318969,https://speta.org/membership-directory/corporate/2318969#page-member-ajax,SPETA Corporate Directory,2026-01-14
Guardian Facility Services Pte Ltd,2078152,https://speta.org/membership-directory/corporate/2078152#page-member-ajax,SPETA Corporate Directory,2026-01-14
Haimer Singapore Pte Ltd,1395192,https://speta.org/membership-directory/corporate/1395192#page-member-ajax,SPETA Corporate Directory,2026-01-14
Haoyang Technology Pte Ltd,1395193,https://speta.org/membership-directory/corporate/1395193#page-member-ajax,SPETA Corporate Directory,2026-01-14
HASCO SINGAPORE (PTE) LTD,1395194,https://speta.org/membership-directory/corporate/1395194#page-member-ajax,SPETA Corporate Directory,2026-01-14
Hayer Engineering,1882430,https://speta.org/membership-directory/corporate/1882430#page-member-ajax,SPETA Corporate Directory,2026-01-14
Henko Machine Tools Pte Ltd,1395196,https://speta.org/membership-directory/corporate/1395196#page-member-ajax,SPETA Corporate Directory,2026-01-14
Hexagon Metrology Asia Pacific Pte Ltd,1395197,https://speta.org/membership-directory/corporate/1395197#page-member-ajax,SPETA Corporate Directory,2026-01-14
HH Stainless Pte Ltd,1401285,https://speta.org/membership-directory/corporate/1401285#page-member-ajax,SPETA Corporate Directory,2026-01-14
Hispec Machine & Tools,1395198,https://speta.org/membership-directory/corporate/1395198#page-member-ajax,SPETA Corporate Directory,2026-01-14
Hitech Heat Treatment Services Pte Ltd,1395199,https://speta.org/membership-directory/corporate/1395199#page-member-ajax,SPETA Corporate Directory,2026-01-14
Hong Leong Bank,1674013,https://speta.org/membership-directory/corporate/1674013#page-member-ajax,SPETA Corporate Directory,2026-01-14
Hui Hong Engrg Pte Ltd,1395202,https://speta.org/membership-directory/corporate/1395202#page-member-ajax,SPETA Corporate Directory,2026-01-14
Hui Huang Technology Pte Ltd,1395203,https://speta.org/membership-directory/corporate/1395203#page-member-ajax,SPETA Corporate Directory,2026-01-14
HURCO (S.E.ASIA) PTE LTD,1395204,https://speta.org/membership-directory/corporate/1395204#page-member-ajax,SPETA Corporate Directory,2026-01-14
Hwacheon Asia Pacific Pte Ltd,1395205,https://speta.org/membership-directory/corporate/1395205#page-member-ajax,SPETA Corporate Directory,2026-01-14
HYPERION MATERIALS & TECHNOLOGIES SEA PTE. LTD.,3063956,https://speta.org/membership-directory/corporate/3063956#page-member-ajax,SPETA Corporate Directory,2026-01-14
i4TECH PTE LTD,2037504,https://speta.org/membership-directory/corporate/2037504#page-member-ajax,SPETA Corporate Directory,2026-01-14
Ichi Seiki Pte Ltd,1395208,https://speta.org/membership-directory/corporate/1395208#page-member-ajax,SPETA Corporate Directory,2026-01-14
IDI LASER SERVICES PTE LTD,1395209,https://speta.org/membership-directory/corporate/1395209#page-member-ajax,SPETA Corporate Directory,2026-01-14
